First name,Last name,Preferred title,Overview,Position,Department,Individual
Jongwha,Chang,Associate Professor,"As a health outcome researcher, and applied statistician, my research generally focuses on examining issues related to effectiveness of medical care delivery and health outcomes in chronic disease and cancer. My research work in this context has examined diverse topics related to economic evaluation of pharmaceuticals, risk adjustment of health outcomes, quality of primary care, medication and patient safety, applied statistical methodology in health services evaluation, and patient-centered outcomes evaluation.",Associate Professor,Irma Lerma Rangel School of Pharmacy,https://scholars.library.tamu.edu/vivo/display/n1a7beafe
John,Cooper,Assistant Director,,Assistant Director,Texas A&M Information Technology,https://scholars.library.tamu.edu/vivo/display/n1afc8f44
Richard,Coffin,Faculty Affiliate,,Faculty Affiliate||Chair and Professor of Physical and Environmental Sciences,"Texas A&M University - Corpus Christi - (Corpus Christi, Texas, United States)||Energy Institute",https://scholars.library.tamu.edu/vivo/display/n1b01ca96
Suman,Chakravorty,Associate Professor,"My research focuses on ameliorating the triple curses of NONLINEARITY, DIMENSIONALITY and UNCERTAINTY in estimation and control problems, with applications to Mobile Robotics, Morphing Aircraft and Distributed Parameter Systems.",Associate Professor,Aerospace Engineering,https://scholars.library.tamu.edu/vivo/display/n1b8e764a
Chris,Cartwright,Clinical Assistant Professor,,Clinical Assistant Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/n1be10098
Xiaowei,,,,Associate Professor,Geology and Geophysics,https://scholars.library.tamu.edu/vivo/display/n1c3f97d9
Hamn-Ching,Chen,Professor,,Professor||Professor,Civil Engineering||Ocean Engineering,https://scholars.library.tamu.edu/vivo/display/n1ed9b77a
Tracy,Clement,Assistant Professor,"My laboratory uses an integrative approach to elucidate the molecular basis of cyto/nucleo morphogenesis in the spermatid, called spermiogenesis.  This is among the most drastic cellular reorganizations and is critical for both male fertility and high fidelity transmission of genetic and epigenetic information to the next generation for healthy offspring.  We seek to elucidate structural and regulatory processes involved in this transformation to understand the molecular underpinnings of cytoskeletal and chromatin remodeling in normal and disrupted spermiogenesis. The laboratory takes advantage of molecular and genetic tools in mouse models including transgenesis, gene knock out studies, and genomic and proteomic expression analyses, advanced imaging technologies for morphological and live tissue imaging, and protein expression and in vitro molecular biochemical approaches such as actin dynamics assays.",Assistant Professor,Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/n1ee4ad1b
Federica,Ciccolella,Professor,,"Professor, Classics",International Studies,https://scholars.library.tamu.edu/vivo/display/n1f29ab6a
Stanton,Cobb,Clinical Associate Professor,,Clinical Associate Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/n1fcd9eb8
David,Claridge,Professor,I conduct research focusing on energy efficiency in buildings. He works to improve the existing building commissioning process and continues to improve methods used for measurement and verification of energy savings in buildings. I am also developing a disruptive refrigerant-free air conditioner technology.,Professor||Faculty Affiliate,Mechanical Engineering||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n20ba9fc0
Megan,Clayton,Associate Professor and Extension Specialist,"Dr. Clayton has responsibility for the leadership and coordination of the Extension educational programs in range management for the majority of Extension Districts 11 and 12. Her responsibilities include providing support for Extension agents, specialists, clientele, and organizations through teaching, training, and providing technical expertise on management of rangeland resources<br /><br /><br /><br />Her current research interests include managing rangeland for a combination of wildlife and livestock uses, small acreage management, brush management, and youth natural resources education.",Associate Professor and Extension Specialist,Ecology and Conservation Biology,https://scholars.library.tamu.edu/vivo/display/n22467556
Fabiana,Cecchini,Instructional Associate Professor,"Fabiana Cecchini holds a Ph.D. in Italian Studies from the University of Pennsylvania and currently she is Instructional Associate Professor of Italian in the Department of International Studies at Texas A&M University where she teaches courses in Italian language and culture, Italian and global cinema. Her interests include teaching pedagogy, women's studies and autobiography, adaptation, and media studies. She published on Sibilla Aleramo, Veronica Franco, Isabella Morra, Marco Bellocchio, Marco Tullio Giordana, and Guido Chiesa among the others. She co-authored two collections of essays: (with Ioana Raluca Larco) Italian Women and Autobiography. Ideology, Discourse and Identity from Fascism to Present (2011) and (with Silvia Giovanardi Byer) Representations of Female Identity in Italy. From Neoclassicism to the 21st Century (2017).",Instructional Associate Professor of Italian,International Studies,https://scholars.library.tamu.edu/vivo/display/n22e14cc0
Stephen,Cambone,Associate Vice Chancellor,,Associate Vice Chancellor,College of Engineering,https://scholars.library.tamu.edu/vivo/display/n25716cc4
Jane,Cotter,Assistant Professor,,Assistant Professor,Dental Hygiene,https://scholars.library.tamu.edu/vivo/display/n2586e569
Hector,Chapa,Clinical Assistant Professor,"I have been involved in minimally invasive gynecological research and published over 40 clinical articles, case reports, and medical commentaries covering both obstetrical and gynecological topics. My clinical practice is as an OB/GYN hospitalist at CHI Saint Joseph Regional Hospital in Bryan, Texas.  <br /><br />I am a published author on in office gynecologic surgery and was part of the FDA post-approval study for the Essure 305 system, as well as the investigational Essure 505 device. Other areas of research publications include therapies for abnormal uterine bleeding, post-partum sentinel events (retained surgical items), and female sexual health. <br /><br />Dr. Chapa has served as a peer reviewer for the American Journal of Obstetrics and Gynecology and the Journal of Surgical Case Reports. Additionally, he has served as a medical research consultant to Johnson & Johnson/Ethicon, Bayer Healthcare, Smith&Nephew, Inc., and Cooper Surgical. From 2007-2012, Dr Chapa authored aspects of the professional education content for obstetricians and gynecologists for these medical corporations. <br /><br />Dr Chapa has taught as an invited physician-faculty member in South Africa, Israel, the European Union, The Netherlands, Norway, Ireland, Chile, Columbia, and Canada due to his unique lecture style and passion for evidence based learning.","Clerkship Director, ObGyn||Assistant Clinical Professor, ObGyn||Staff Physician",Obstetrics and Gynecology||School of Medicine||School of Medicine,https://scholars.library.tamu.edu/vivo/display/n25d21f40
Antolino,Camacho,Adjunct Assistant Professor,,Adjunct Assistant Professor,School of Dentistry,https://scholars.library.tamu.edu/vivo/display/n263bb41c
Molly,Crews,Lecturer,Systematic reviews and research syntheses; veterinary information; and evidence-based medicine,Lecturer||Librarian,Center for Systematic Reviews and Research Syntheses||University Libraries,https://scholars.library.tamu.edu/vivo/display/n27f431f1
Misti,Carter,Assistant Professor,,Assistant Professor,Humanities in Medicine,https://scholars.library.tamu.edu/vivo/display/n28cb7333
Irene,Calboli,Professor,"My research interests focus on intellectual property, international trade and comparative law. My expertise includes advising international organizations and national governments on issues related to legislative reforms and the impact of intellectual property laws on economic and cultural development.",Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n290f4988
James,Creel,Director,,,,https://scholars.library.tamu.edu/vivo/display/n2971b032
Tahir,Cagin,Professor,"My research interests include: computational materials science and nanotechnology with emphasis on design; characterization and development of multifunctional nano-structured materials for device and sensor applications; fundamental studies on transport phenomena (heat, mass and momentum) at nanoscale and in confined media; thermal, mechanical, electronic and magnetic properties and phase behavior of materials; materials for thermal management, power generation and energy harvesting; and development and application of multiscale simulation methods.",Faculty Affiliate||Professor,Energy Institute||Materials Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n299235a8
David,Carlson,Professor Emeritus,,Professor,Anthropology,https://scholars.library.tamu.edu/vivo/display/n299840b9
Susan,Chrysler,TTI Senior Research Scientist,,TTI Senior Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n29da8ca4
Denise,Chapman,Instructional Assistant Professor,,Instructional Assistant Professor,Kinesiology and Sport Management,https://scholars.library.tamu.edu/vivo/display/n2b67ec67
Luis,Cisneros-Zevallos,Professor,The mission of our research program at the Plant Bioactives & Bioprocessing Research Laboratory is to generate information that can benefit the agriculture and processing industry by adding value to crops through bioactive compound discovery and the design of appropriate methods to enhance their content in plants as well as extend their post-harvest shelf-life.,Professor,Horticultural Sciences,https://scholars.library.tamu.edu/vivo/display/n2e6bb4c1
Nadeem,Chaudhary,TTI Senior Research Engineer,,TTI Senior Research Engineer,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n2fe6704c
Roger,Cordes,Lecturer,,Lecturer,Ocean Engineering,https://scholars.library.tamu.edu/vivo/display/n2fe80769
Mary,Capraro,Professor,,Faculty Affiliate||Member||Professor||Co-Project Director,"Engineering Education Research Taskforce||Teaching, Learning and Culture||Aggie STEM||Institute for Engineering Education and Innovation",https://scholars.library.tamu.edu/vivo/display/n3023b30a
William,Collopy,Lecturer,,Lecturer,History,https://scholars.library.tamu.edu/vivo/display/n31ef15f4
George,Cramer,Clinical Associate Professor,,Clinical Associate Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/n33165396
Theodora,Chaspari,Assistant Professor - Term Appoint,"The increasing use of wearable sensors allows the monitoring of individuals over long periods of time in non-ambulatory settings, providing new insights into diagnostic and therapeutic means. The large volume and variability of recordings from these sensors, their use in everyday life and beyond specialized places and the limited resources of appropriately trained people for the corresponding signal analysis underline the need of automatic ways to process them. My research focuses on addressing challenges in capturing, representing and analyzing the acquired signals, as well as interpreting them as a unified group and with respect to co-evolving behavioral markers and events. It has applications to psychophysiological well-being, personalized health, security, and human assistive agents.",Assistant Professor - Term Appoint,Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n336c7859
John,Criscione,Professor,,Professor,Biomedical Engineering,https://scholars.library.tamu.edu/vivo/display/n33d294c3
Laurel,Childress,Expedition Project Manager/Staff Scientist,,Expedition Project Manager/Staff Scientist,International Ocean Discovery Program,https://scholars.library.tamu.edu/vivo/display/n33f756bb
M,Castell-Perez,Professor,"Characterization of food and biological materials, biomass pretreatments for bioenergy, food rheology, smart packaging systems, food safety technologies including irradiation and active packaging.",Professor||Professor,Biological and Agricultural Engineering||Nutrition,https://scholars.library.tamu.edu/vivo/display/n34204884
Gabriela,Campagnol Abuabara,Lecturer,,Lecturer,Architecture,https://scholars.library.tamu.edu/vivo/display/n34fef48f
Lara,Coseo,Adjunct Assistant Professor,,Adjunct Assistant Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/n35a7acd1
Gloria,Conover,Instructional Assistant Professor,"Dr. Conover is interested in the cellular processes that govern cytoskeletal crosstalk in myocytes and the subversion of the endocytic pathway during intracellular bacterial infection. She showed that nebulette and nebulin sarcomere proteins functionally integrate desmin intermediate filaments to the actin cytoskeleton. During her PhD studies, using genetics and screen she discovered LidA, a Legionella pneumophila effector exported into macrophages through bacterial Icm/Dot Type IV secretion system. As a research scientist, she lead an interdisciplinary team to develop a live-cell multi day microfluidics platform to study the temporal response to stress of persistent Mycobacteria. Currently, she is interested in the vertical integration of the basic science medical curriculum and interprofessional research practices into medical curriculum to advance the next generation of medical treatments.",Instructional Assistant Professor||Director,Health Science Center||Health Science Center,https://scholars.library.tamu.edu/vivo/display/n3706f4f0
Donald,Curtis,Assistant Dean for Undergraduate Studies,I am currently involved in developing and implementing undergraduate recruiting and advising for the School of Public Health. Our group explores career and study abroad opportunities for SPH undergraduates.,Assistant Dean,Public Health Studies,https://scholars.library.tamu.edu/vivo/display/n38627ac8
Elizabeth,Cobbs,Professor,,Faculty Affiliate||Professor,History||Albritton Center for Grand Strategy,https://scholars.library.tamu.edu/vivo/display/n38ff3abd
Kimberly,Cochran,Assistant Professor and Extension Specialist,"I work with a wide variety of crops in the Texas Winter Garden and the expanse of district 10 that spans from Bastrop in the east to Bracketville, TX in the west.  I have ongoing projects on spinach, grape, pecan, olive, and sesame.  Producers of many specialty crops need more research and disease information support, and I strive to provide that to them while being mindful of sustainable practices and water conservation.  I have interests in working with a variety of foliar and soilborne diseases, which are influenced by the needs of producers in my area and the state of Texas.  These currently include, Pierce's Disease on grape, Anthracnose and Stemphylium Leaf Spots on spinach, Cotton Root Rot (aka Texas Root Rot) on a variety of hosts, and root rots of sesame. I enjoy working directly with producers to serve their needs and to serve the people of Texas.",Assistant Professor||Assistant Professor and Extension Specialist,Uvalde Research and Extension Center||Plant Pathology and Microbiology,https://scholars.library.tamu.edu/vivo/display/n3b9d8936
Jade,Cooper,Assistant Professor and Extension Specialist,,Assistant Professor and Extension Specialist,Animal Science,https://scholars.library.tamu.edu/vivo/display/n3bfd4644
Gregory,Chamitoff,Professor of the Practice,,Professor of the Practice,Aerospace Engineering,https://scholars.library.tamu.edu/vivo/display/n3c6217ad
Garth,Crosby,Associate Professor,,Member||Associate Professor||Faculty Affiliate,Engineering Education Research Taskforce||Engineering Technology and Industrial Distribution||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n3cb711b2
Sasanka,Chukkapalli,Research Assistant Professor,,Research Assistant Professor,Biomedical Engineering,https://scholars.library.tamu.edu/vivo/display/n3d79d3b4
Martin,Carlisle,Professor of the Practice,"I am interested in identification of software vulnerabilities, using formal methods to create software with security properties, and computer security/computer science education.",Professor of the Practice||Faculty Affiliate,Computer Science and Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n3e23efb4
Kuang-An,Chang,Professor,,Professor||Faculty Affiliate,Civil Engineering||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n3e61b6f1
Robert,Chapkin,Distinguished Professor,"Research in the Chapkin lab focuses on dietary/microbial modulators related to the prevention of cancer and chronic inflammatory diseases.<br /><br /><br /><br />Our central goal is to (1) understand cancer chemoprevention at a fundamental level, and (2) to test pharmaceutical agents in combination with dietary/microbial (countermeasures to the Western diet) to more effectively improve gut health and reduce systemic chronic inflammation.  Since diet influences gut microbiota composition and metabolite production, to unravel the interrelationships among gut health and the structure of the gut microbial ecosystem, we are in the process of evaluating (using transgenic mouse, Drosophila models and humans) how the gut microbiome modulates intestinal cells, innate immune cells and tumors.  As part of this endeavor, we are modeling at the molecular level the dynamic relationship between diet and gut microbe-derived metabolites which modulate chronic inflammation and the hierarchical cellular organization of the intestine, e.g., stem cell niche.",Distinguished Professor||Professor,Biochemistry and Biophysics||Nutrition,https://scholars.library.tamu.edu/vivo/display/n3fbb59f8
Jose,Cheibub,Professor,,Professor,Political Science,https://scholars.library.tamu.edu/vivo/display/n40463117
Angela,Clendenin,Instructional Assistant Professor,,Instructional Assistant Professor,Epidemiology and Biostatistics,https://scholars.library.tamu.edu/vivo/display/n4160992e
Charles,Criscione,Professor,"I examine fundamental ecological and evolutionary questions in parasite systems and consider my research to be at the interface of ecology, evolution, and genetics.  Parasitology provides a rich subject area for studies of ecology and evolutionary biology.  Numerous topics such as ecosystem dynamics, mating systems, or coevolution can be addressed because parasites are extremely diverse.  By diversity, I include not only the myriad of taxa that have independently evolved a parasitic lifestyle, but also the diversity in life cycles, modes of reproduction, host species, and ecosystems utilized by parasites.  This diversity also allows for comparative studies to address theories or unifying principles that span ecosystems or taxonomic groups.  Furthermore, there are many practical applications such as studying the evolution of drug resistance, or using parasite community structure to assess ""ecosystem health"".  My research interests address both basic and applied questions, and span three overlapping subject areas: 1) Evolution: Population Genetics, Mating Systems, and Molecular Epidemiology, 2) Ecology: Biodiversity, Conservation, and Natural History, and 3) Genetics and Ecological Genomics.",Professor,Biology,https://scholars.library.tamu.edu/vivo/display/n41a8b584
Casey,Crisman-Cox,Assistant Professor,"My research focuses on International Relations, Comparative Politics, and Methods.   In particular, I am interested in estimating and analyzing reputation effects in both internal and interstate conflicts. The rest of my research agenda focuses on developing tools for estimating formal model of conflict.",Assistant Professor,Political Science,https://scholars.library.tamu.edu/vivo/display/n427dad89
John,Carey,Professor,"Research areas include layer management, egg production and environmental stewardship.  Past efforts have focused on methionine sources and broiler excreta odor, fate of nitrogen in broiler production and nutrient buildup in broiler litter  and the role of dietary threonine on egg component yield, composition and functional qualities.",Professor,Poultry Science,https://scholars.library.tamu.edu/vivo/display/n456cf290
Van,Chau,Clinical Assistant Professor,,Clinical Assistant Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/n463f2c6d
Don,Conlee,Instructional Professor,,Instructional Professor,Atmospheric Sciences,https://scholars.library.tamu.edu/vivo/display/n482152ea
Yi-Shing,Cheng,Professor and Director,,Associate Professor and Director,Diagnostic Sciences,https://scholars.library.tamu.edu/vivo/display/n48948ca7
Matthew,Call,Assistant Professor,,Assistant Professor,Management,https://scholars.library.tamu.edu/vivo/display/n492dfb17
Glenn,Cohen,Adjunct Assistant Professor,,Adjunct Assistant Professor,Orthodontics,https://scholars.library.tamu.edu/vivo/display/n4946a576
Garry,Castellanos,Assistant Dean,,Assistant Dean,Irma Lerma Rangel School of Pharmacy,https://scholars.library.tamu.edu/vivo/display/n4a706c38
Sara,Castro-Olivo,Associate Professor,My research focuses on the development and validation of culturally responsive social-emotional and behavioral interventions for Latino ELL youth and families.,Associate Professor,Educational Psychology,https://scholars.library.tamu.edu/vivo/display/n4ab7fd74
Donnie,Carpenter,Lecturer,,Lecturer,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/n4be06dfb
Goong,Chen,Professor,"I have research interests in many areas of applied and computational mathematics:<br /><br />control theory for partial differential equations (PDEs), boundary element<br /><br />methods and numerical solutions of PDEs, engineering mechanics, chaotic dynamics,<br /><br />quantum computation, chemical physics and quantum mechanics.",Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/n4c19487b
Nancy,Currie-Gregg,Professor of the Practice,"Dr. Currie-Gregg's research interests are in spacecraft occupant protection, human systems integration, aerospace systems engineering, and safety engineering and risk management. She teaches courses in human factors engineering and ergonomics, aerospace systems engineering, and systems safety engineering and risk management.",Professor of the Practice||Professor of the Practice||Faculty Affiliate,Aerospace Engineering||Industrial and Systems Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n4c699944
Homero,Castaneda,Associate Professor,,Associate Professor||Director,Materials Science and Engineering||National Corrosion and Materials Reliability Lab,https://scholars.library.tamu.edu/vivo/display/n4d1ebe08
Carlos,Corleto,Professor of the Practice,,Faculty Affiliate||Professor of the Practice,Mechanical Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n4e4c7553
Sankar,Chaki,Associate Research Scientist,"An experienced Biologist with significant basic, translational and regulatory research in infectious diseases (Brucellosis, Anthrax, SARS-CoV2), cell & molecular biology, molecular genetics, cancer and reproductive physiology. Multiple peer-reviewed research publications, patents, and success in classroom/ laboratory teaching, laboratory management and providing training to work in high containment laboratories (ABSL2, BSL3 and ABSL3). Eager to contribute to research & development (vaccines and diagnostics), education, training, and biosafety management.",Associate Research Scientist,Division of Research,https://scholars.library.tamu.edu/vivo/display/n4e7e5001
Robert,Carley,Associate Professor,,Associate Professor||Assistant Professor,The Texas A&M University System||International Studies,https://scholars.library.tamu.edu/vivo/display/n4e888159
David,Chimene,,,Research Assistant Professor,Biomedical Engineering,https://scholars.library.tamu.edu/vivo/display/n51293781
Chieh,Chen,Research Assistant Professor,,Research Assistant Professor,Psychiatry and Behavioral Sciences,https://scholars.library.tamu.edu/vivo/display/n51621f38
Brad,Clement,Professor and Director,,Professor and Director,Geology and Geophysics,https://scholars.library.tamu.edu/vivo/display/n53a20ce7
Tyrene,Calvesbert,Lecturer,,Lecturer,Landscape Architecture and Urban Planning,https://scholars.library.tamu.edu/vivo/display/n5503dc38
Sarah,Capik,Assistant Professor,"Dr. Capik's research interests include the characterization, transmission dynamics, diagnosis, and control of Bovine Respiratory Disease (BRD).  She has investigated potential methods to mitigate stress in cattle, used behavioral monitoring to identify sick cattle, and evaluated diagnostic sampling strategies for BRD.",Assistant Professor||Assistant Professor,School of Veterinary Medicine and Biomedical Sciences||Texas A&M AgriLife Research,https://scholars.library.tamu.edu/vivo/display/n551442f5
Mahua,Choudhury,Associate Professor,"Epigenetics, diabetes, obesity, pregnancy, preeclampsia, biomarker",,,https://scholars.library.tamu.edu/vivo/display/n55b81876
Morgan,Chaffin,Professor and Associate Department Head,,Professor and Associate Department Head,Large Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n5662b287
Lisa,Colvin,Clinical Associate Professor,,Clinical Associate Professor,Kinesiology and Sport Management,https://scholars.library.tamu.edu/vivo/display/n5788771b
Sergio,Capareda,Professor,"Fluidized bed pyrolysis and gasification of biomass; biofuels and biopower production including biomass characterization; waste management, environmental air quality research, PM, GHG and RVOC emissions measurements; engine dynamometer testing; process design and development.",Professor||Faculty Affiliate,Biological and Agricultural Engineering||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n5974e0e3
