ASSAY_ID	ASSAY	PROJECT	PLATE	WELL	WELL_TYPE	RAW_VALUE_A	BSUB_VALUE_A	Z_SCORE_A	RAW_VALUE_B	BSUB_VALUE_B	Z_SCORE_B	RAW_VALUE_C	BSUB_VALUE_C	Z_SCORE_C	COMPOSITE_Z	REPRODUCIBILITY	CHEMBANK_ID	VIRTUAL_ID	SMILES
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A11	compound treatment	990.0	-657.0	-1.02	908.0	-574.0	-1.03	1013.0	-387.703125	-0.522166935120334	-1.4847	-0.9638	2060031	SpecPlus_000009	C[C@]12CCC3[C@@]4(C)C=CC(=O)C(C)(C)C4=C(O)C(=O)[C@@]3(C)[C@]25O[C@@H]5C[C@H]1c6ccoc6
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A12	compound treatment	36.0	-1610.0	-2.49	44.5	-1440.0	-2.59	48.5	-1352.203125	-1.8211763483758	-3.9833	-0.9892	2060032	SpecPlus_000010	C[C@]12CCC3[C@@](C)([C@H](O)CC4[C@]3(C)[C@@H](O)CC(=O)OC4(C)C)C25OC5C(=O)OC1c6ccoc6
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A13	compound treatment	1757.5	110.0	0.17	1628.0	146.0	0.26	1364.5	-36.203125	-0.0487591499888693	0.2216	0.7002	2060033	SpecPlus_000011	CO[C@@H]1C(OC(=O)C(C)C)[C@@]2(C)[C@@H](OC(=O)/C(=C(\O)/C(C)C)/C2[C@@]34OC5(C)O[C@]14[C@]6(C)[C@@H](CC(=O)OC)C7(C)CC6(O5)[C@](OC)(C7OC(=O)C)[C@H]3OC)c8ccoc8
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A14	compound treatment	51.5	-1600.0	-2.47	41.5	-1440.0	-2.59	41.5	-1359.203125	-1.83060409943105	-3.978	-0.9896	2060034	SpecPlus_000012	CC(C)c1c(O)ccc2c1CCC3[C@](C)(CCC[C@@]32C)C=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A15	compound treatment	1687.0	39.6	0.06	1385.5	-96.6	-0.17	1676.0	275.296875	0.37077577196974	0.1491	0.3602	2060035	SpecPlus_000013	CC1(C)C2C[C@@H](O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]543)c6ccoc6)[C@@]2(C)C=CC1=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A16	compound treatment	1877.0	230.0	0.36	943.0	-539.0	-0.97	1083.5	-317.203125	-0.427216013778177	-0.6013	-0.5382	2060036	SpecPlus_000014	CC1=CCc2c(O)c3c(=O)cc(C)oc3cc2OC1
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A17	compound treatment	1435.0	-212.0	-0.33	1564.0	81.9	0.15	1596.0	195.296875	0.26303004562403	0.0472	0.1058	2060037	SpecPlus_000015	CC(=O)O[C@@H]1CC[C@@]2(C)C(C[C@@H](OC(=O)C)[C@]3(C)C2CC[C@@]4(C)[C@@H](OC(=O)C=C43)c5ccoc5)C1(C)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A18	compound treatment	2006.5	359.0	0.56	1608.0	126.0	0.23	1447.0	46.296875	0.0623536303051445	0.4874	0.8082	3054128	SpecPlus_000016	COC1C[C@H]2N3CC(O)C2(C=C1)c4cc5OCOc5cc4C3
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A19	compound treatment	974.0	-673.0	-1.04	1097.0	-385.0	-0.69	1681.0	280.296875	0.377509879866347	-0.7834	-0.5995	2060038	SpecPlus_000017	COC(=O)C[C@H]1C(C)(C)C(=O)C=C[C@]1(C)C2CC[C@@]3(C)[C@@H](OC(=O)C=C3C2=C)c4ccoc4
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A20	compound treatment	1832.5	185.0	0.29	1459.0	-23.1	-0.04	1427.0	26.296875	0.0354171987187169	0.1618	0.5549	2060039	SpecPlus_000018	CC(=CCc1c(O)cc2oc(C)cc(=O)c2c1O)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A21	compound treatment	552.5	-1090.0	-1.69	1778.5	296.0	0.53	1286.0	-114.703125	-0.154484643965598	-0.7594	-0.4261	3173357	SpecPlus_000019	CC(=C)[C@@H]1CC[C@@]2(CCC3[C@H](CCC4[C@@]3(C)CCC5C(C)(C)[C@H](O)CC[C@@]54C)C12)C(=O)O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A22	compound treatment	1881.0	234.0	0.36	1974.0	492.0	0.88	1280.0	-120.703125	-0.162565573441526	0.6255	0.6453	3054129	SpecPlus_000020	CO[C@@H]1CC2N3CC(O)C2(C=C1)c4cc5OCOc5c(OC)c4C3
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A23	positive control	1982.0	335.0	0.52	1831.0	349.0	0.63	2059.0	658.296875	0.886608436849828	1.173	0.9749			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A24	mock treatment	34.0	-1610.0	-2.5	77.5	-1400.0	-2.53	102.0	-1298.703125	-1.74912139388211	-3.9092	-0.9876			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B01	positive control	2157.5	510.0	0.79	2057.0	575.0	1.03	1858.0	457.296875	0.615897299406231	1.4081	0.9785			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B02	positive control	1889.0	242.0	0.37	2093.0	611.0	1.1	1848.5	447.796875	0.603102494402678	1.1982	0.9162			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B03	compound treatment	1819.0	172.0	0.27	1619.5	137.0	0.25	1570.0	169.296875	0.228012684561674	0.4275	0.9981	2060040	SpecPlus_000021	CCOC(=O)C1(O)Oc2cc(OC)cc(OC)c2C(=O)C1c3ccccc3
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B04	compound treatment	1617.5	-29.9	-0.05	1514.0	31.9	0.06	1344.5	-56.203125	-0.0756955815752969	-0.0373	-0.3532	3054130	SpecPlus_000022	CC(CCC=C(C)C)[C@@H]1CC[C@]2(C)C3=C(CC[C@@]12C)C4(C)CC[C@H](OC(=O)C)C(C)(C)C4CC3
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B05	compound treatment	1546.0	-101.0	-0.16	1470.5	-11.6	-0.02	1408.5	7.796875	0.0105009995012714	-0.0966	-0.6089	2060041	SpecPlus_000023	COc1cc2CCN(C)C(Cc3ccc(O)cc3)c2cc1O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B06	compound treatment	1457.5	-190.0	-0.29	1634.0	152.0	0.27	1413.0	12.296875	0.0165616966082176	-0.0024	-0.0059	2060042	SpecPlus_000024	CCC(C)c1cnc(CC(C)C)c(=O)n1O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B07	compound treatment	1504.5	-143.0	-0.22	1584.0	102.0	0.18	1516.0	115.296875	0.15528431927832	0.0678	0.2077	2060043	SpecPlus_000025	COc1cc(OC)c(Cl)c2OC3(C(C)CC(=O)C=C3O)C(=O)c21
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B08	compound treatment	1748.0	101.0	0.16	1737.0	255.0	0.46	1304.0	-96.703125	-0.130241855537813	0.2793	0.5571	2060044	SpecPlus_000026	CC(=O)Oc1cc(cc(OC(=O)C)c1OC(=O)C)c2coc3cc(OC(=O)C)c(OC(=O)C)c(OC(=O)C)c3c2=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B09	compound treatment	1084.0	-563.0	-0.87	754.0	-728.0	-1.31	1142.5	-258.203125	-0.347753540598215	-1.46	-0.9063	2060045	SpecPlus_000027	CC(=C)/C=C\1/C=CC(=O)C(=C1)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B10	compound treatment	1200.0	-447.0	-0.69	1159.0	-323.0	-0.58	1391.0	-9.703125	-0.0130683781368528	-0.7426	-0.8217	2060046	SpecPlus_000028	C[C@H]1[C@@H]2CC[C@@]3(C)C=CC(=O)[C@@]4(C)O[C@]43[C@H]2OC1=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B11	compound treatment	43.0	-1600.0	-2.48	25.0	-1460.0	-2.62	33.5	-1367.203125	-1.84137867206562	-4.009	-0.9894	2060047	SpecPlus_000029	OC(C(=O)O)C(O)(Cc1ccc(O)cc1)C(=O)O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B12	compound treatment	1556.5	-90.9	-0.14	1579.0	96.9	0.17	1461.0	60.296875	0.0812091324156437	0.0663	0.2783	2060048	SpecPlus_000030	CC(=O)c1c(O)c(C)c(O)c2c1oc3c(C(=O)C)c(O)c(C)c(O)c32
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B13	compound treatment	273.5	-1370.0	-2.13	457.0	-1030.0	-1.84	1246.0	-154.703125	-0.208357507138453	-2.4117	-0.8549	2060049	SpecPlus_000031	Cc1cc(=O)c2c(O)c(C)c(O)cc2o1
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B14	compound treatment	1852.0	205.0	0.32	1347.5	-135.0	-0.24	1375.0	-25.703125	-0.0346175234059948	0.023	0.0574	2060050	SpecPlus_000032	COc1ccc(cc1)c2cc(=O)c3c(OC)cccc3o2
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B15	compound treatment	31.0	-1620.0	-2.5	37.5	-1440.0	-2.6	48.0	-1352.703125	-1.82184975916546	-3.9954	-0.989	2060051	SpecPlus_000033	Cc1cc(=O)c2c(O)cc(O)c(C)c2o1
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B16	compound treatment	1756.0	109.0	0.17	1882.0	400.0	0.72	1826.0	425.296875	0.572799008867947	0.8429	0.9019	2069262	SpecPlus_000034	COc1cc(/C=C/C=O)cc(OC)c1OC
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B17	compound treatment	1904.5	257.0	0.4	2000.5	518.0	0.93	1789.5	388.796875	0.523640021222717	1.0702	0.9381	2060052	SpecPlus_000035	Oc1ccc2C3=C4C=CC(=O)C=C4C[C@@]3(O)COc2c1
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B18	compound treatment	1574.5	-72.9	-0.11	1710.0	228.0	0.41	1812.0	411.296875	0.553943506757448	0.4913	0.7036	2060053	SpecPlus_000036	COc1c(CC=C(C)C)c2OC(C)(C)C=Cc2c3oc(=O)c(c(OC(=O)C)c13)c4ccc(OC(=O)C)cc4
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B19	compound treatment	1774.0	127.0	0.2	1860.0	378.0	0.68	1623.0	222.296875	0.299394228265707	0.6783	0.8832	2060054	SpecPlus_000037	CC(=O)OC(OC(=O)C)c1c(OC(=O)C)cc(C)c2C(=O)Oc3c(C)c(OC(=O)C)c4C(=O)OC(OC(=O)C)c4c3Oc12
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B20	compound treatment	1756.0	109.0	0.17	1714.0	232.0	0.42	1612.0	211.296875	0.284579190893172	0.502	0.9436	3173360	SpecPlus_000038	CC(CCC(=O)O)[C@H]1CCC2C3CC[C@@H]4CCCC[C@]4(C)C3CC[C@]12C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B21	compound treatment	2027.0	380.0	0.59	2155.0	673.0	1.21	1561.0	160.296875	0.215891290347782	1.1623	0.8532	2120750	SpecPlus_000039	CC(C)C(C)/C=C/C(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC12C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B22	compound treatment	1856.0	209.0	0.32	1448.0	-34.1	-0.06	1586.0	185.296875	0.249561829830816	0.295	0.715	3173475	SpecPlus_000040	CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3OC(=O)C)N(C)C)[C@@H](C)C[C@]4(CO4)C(=O)[C@H](C)[C@@H](OC(=O)C)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(=O)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B23	positive control	2074.5	427.0	0.66	1960.5	478.0	0.86	2071.0	670.296875	0.902770295801685	1.3994	0.9916			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	B24	mock treatment	75.5	-1570.0	-2.43	63.0	-1420.0	-2.55	188.0	-1212.703125	-1.63329473806047	-3.8204	-0.9833			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C01	positive control	2147.0	500.0	0.77	2398.0	916.0	1.65	1357.0	-43.703125	-0.0588603118337796	1.3632	0.7489			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C02	positive control	2281.0	634.0	0.98	1819.5	337.0	0.61	1894.0	493.296875	0.664382876261801	1.2998	0.9769			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C03	compound treatment	1891.0	244.0	0.38	1908.0	426.0	0.77	1290.0	-110.703125	-0.149097357648312	0.5737	0.6621	2060055	SpecPlus_000041	CC(=O)O[C@@H]1CC2C(C)(C)C(=O)CC[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C5OC54[C@]13C)c6ccoc6
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C04	compound treatment	1867.0	220.0	0.34	1765.0	283.0	0.51	1531.0	130.296875	0.17548664296814	0.5912	0.9289	2060056	SpecPlus_000042	COc1cc(O)c2c(=O)cc(C)oc2c1CC=C(C)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C05	compound treatment	1363.0	-284.0	-0.44	1572.0	89.9	0.16	1566.0	165.296875	0.222625398244389	-0.0322	-0.062	2060057	SpecPlus_000043	COC(=O)C[C@H]1C(C)(C)[C@@H](OC(=O)C)[C@@H]2CC3=C4CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC3[C@@]1(C)C2=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C06	compound treatment	1514.0	-133.0	-0.21	1408.0	-74.1	-0.13	1414.5	13.796875	0.0185819289771996	-0.1854	-0.7524	1352641	SpecPlus_000044	COc1c2ccoc2nc3ccccc13
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C07	compound treatment	1379.5	-268.0	-0.41	1197.5	-285.0	-0.51	1393.0	-7.703125	-0.01037473497821	-0.5408	-0.821	1094519	SpecPlus_000045	CC(=O)N1CCCC1C(=O)O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C08	compound treatment	1576.5	-70.9	-0.11	1477.5	-4.62	-0.01	1377.0	-23.703125	-0.0319238802473521	-0.0866	-0.7556	2060058	SpecPlus_000046	CC1(C)CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@@H](O)C(C)(C)C5CC[C@]43C)C2C1)C(=O)O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C09	compound treatment	1781.0	134.0	0.21	1583.0	101.0	0.18	1422.5	21.796875	0.0293565016117707	0.241	0.8715	2060059	SpecPlus_000047	CC(=O)O[C@@H]1C[C@H](OC(=O)C)[C@@]2(C)C(C[C@@H](OC(=O)C)[C@]3(C)C2CC[C@@]4(C)[C@@H](C[C@H]5O[C@]543)c6ccoc6)C1(C)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C10	compound treatment	1340.0	-307.0	-0.48	1366.0	-116.0	-0.21	1341.5	-59.203125	-0.079736046313261	-0.4412	-0.8396	3173478	SpecPlus_000048	C[C@H]1C(=O)CCC2[C@]1(C)CCC3[C@@]2(C)CC[C@@]4(C)C5CC(C)(C)CC[C@]5(C)CC[C@]34C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C11	compound treatment	1787.0	140.0	0.22	1550.0	67.9	0.12	1393.0	-7.703125	-0.01037473497821	0.1892	0.7619	2060060	SpecPlus_000049	CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]543)c6ccoc6)[C@@]2(C)C=CC1=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C12	compound treatment	1442.0	-205.0	-0.32	1736.0	254.0	0.46	1153.0	-247.703125	-0.333611914015341	-0.1125	-0.1734	2060061	SpecPlus_000050	Cc1cc(=O)c2c(O)c3CCC(C)(C)Oc3cc2o1
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C13	compound treatment	1521.0	-126.0	-0.2	1428.0	-54.1	-0.1	1536.0	135.296875	0.182220750864747	-0.0639	-0.2246	2060062	SpecPlus_000051	CC(=O)O[C@@H]1C[C@H](OC(=O)C)[C@@]2(C)C(CC(=O)[C@]3(C)C2CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]543)c6ccoc6)C1(C)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C14	compound treatment	1855.5	208.0	0.32	1569.0	86.9	0.16	1624.0	223.296875	0.300741049845028	0.4497	0.9621	3054135	SpecPlus_000052	CC(=O)O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4C5CC(C)(C)CC[C@]5(C)CC[C@]43C)C1(C)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C15	compound treatment	1626.0	-21.4	-0.03	1800.0	318.0	0.57	1359.0	-41.703125	-0.0561666686751369	0.2785	0.484	2060063	SpecPlus_000053	CC(=O)O[C@@H]1C[C@H](OC(=O)C)[C@@]2(C)C(C[C@@H](OC(=O)C)[C@]3(C)C2CC[C@@]4(C)[C@@H](C(=O)[C@H]5O[C@]543)c6ccoc6)C1(C)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C16	compound treatment	1822.0	175.0	0.27	1763.0	281.0	0.51	1549.0	148.296875	0.199729431395925	0.5629	0.9279	3054136	SpecPlus_000054	CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C17	compound treatment	1695.0	47.6	0.07	1230.0	-252.0	-0.45	1344.0	-56.703125	-0.0763689923649575	-0.2633	-0.5656	2060064	SpecPlus_000055	CCC(C)C(=O)OC1[C@@H]2CC3=C4CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC3[C@](C)([C@@H](CC(=O)OC)C1(C)C)C2=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C18	compound treatment	1898.0	251.0	0.39	1896.0	414.0	0.74	1674.5	273.796875	0.368755539600758	0.8664	0.9452	2060065	SpecPlus_000056	COC[C@@]12CN(C=O)C3[C@@H]4[C@H](OC)C2[C@]3(C5CC6(O)C(OC(=O)c7ccccc7)C5C4(OC(=O)C)C(O)C6OC)[C@H](C[C@H]1O)OC
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C19	compound treatment	1729.0	81.6	0.13	1960.0	478.0	0.86	1657.0	256.296875	0.345186161962634	0.7683	0.822	2060066	SpecPlus_000057	COC(=O)CC1C(C)(C)C(=O)C[C@@H]2O[C@@]34CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC(C3=C)[C@]12C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C20	compound treatment	2472.0	825.0	1.28	2098.0	616.0	1.11	2306.0	905.296875	1.21927336694221	2.0799	0.9983	2060067	SpecPlus_000058	CC(=O)O[C@@H]1CC2C(C)(C)[C@H](O)C=C[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C5OC54[C@]13C)c6ccoc6
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C21	compound treatment	1406.5	-241.0	-0.37	1725.0	243.0	0.44	1474.0	73.296875	0.0987178129468217	0.094	0.1613	3173485	SpecPlus_000059	OC[C@H]1O[C@H](Oc2cccc3[C@H]([C@@H]4c5cccc(O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)c5C(=O)c7c(O)cc(cc47)C(=O)O)c8cc(cc(O)c8C(=O)c23)C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C22	compound treatment	1869.0	222.0	0.34	1598.0	116.0	0.21	1557.0	156.296875	0.210504004030496	0.4398	0.9707	2060068	SpecPlus_000060	COC1C(O)C(O[C@H]2CC[C@]3(C=O)C4[C@@H](C[C@]5(C)[C@H](CC[C@]5(O)C4CC[C@]3(O)C2)C6=CC(=O)OC6)OC(=O)C)OC(C)C1OC(=O)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C23	positive control	2001.5	354.0	0.55	1685.0	203.0	0.36	1419.0	18.296875	0.0246426260841458	0.5411	0.8216			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	C24	mock treatment	59.0	-1590.0	-2.46	83.5	-1400.0	-2.52	176.0	-1224.703125	-1.64945659701233	-3.8231	-0.9844			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	D01	positive control	1952.0	305.0	0.47	2290.5	808.0	1.45	1735.0	334.296875	0.450238245149702	1.3713	0.8608			
