"State Name","State","Jurisdiction Name","Jurisdiction Type","Fiscal Year Ending","Program Name","Program Purpose","Statutory Authority","Abating Jurisdictions","Applicable Taxes","Abatement Method","Recapture Provisions","Gross Revenue Loss","Reimbursement","Net Revenue Loss","Type of Loss","Disclosure Notes","Document Source"
"Arizona","AZ","City of Glendale","Municipality","2018","Sales Tax Reimbursement","General Economic Development","Article 1, Section 3 of City Charter; ARS 9-500.05, 9-500.11; ARS 11-952","City of Glendale","Sales tax","Reimbursement","(not specified)","$1,398,000","$0","$1,398,000","Active","(none)","https://www.glendaleaz.com/your_government/city_finances/financial_reports"
"Arizona","AZ","City of Phoenix","Municipality","2018","Transaction Privilege Tax Reimbursement","Redevelopment/revitalization","City Council","Phoenix, Arizona","Transaction Privilege Taxes","(not specified)","(N/A - performance-based)","$543,000","$0","$543,000","Active","(none)","https://www.phoenix.gov/finance/annualreports"
"Arizona","AZ","City of Phoenix","Municipality","2018","Government Property Lease Excise Tax (GPLET) program","Redevelopment/revitalization","Arizona Revised Statutes (ARS) Title 42, Chapter 6, Article 6, Sections 42-6201, 42-6203, 42-6208, and 42-6209.","Phoenix, Arizona","Real Property Tax","(not specified)","(N/A - performance-based)","$4,287,000","$0","$4,287,000","Active","(none)","https://www.phoenix.gov/finance/annualreports"
"Arizona","AZ","City of Scottsdale","Municipality","2018","Tax Abatements","General Economic Development","(not specified)","Scottsdale","Property Tax","(not specified)","(not specified)","$121,653","$0","$121,653","Active","(none)","https://www.scottsdaleaz.gov/finance/annual-financial-report"
"Arkansas","AR","Arkansas","State","2018","Low Income Housing Program","Affordable Housing","Arkansas Code Annotated Section 26-51-1701 - 26-51-1705","State of Arkansas","Income Tax","Tax Credit","If a portion of the federal income Tax Credit is required to be recaptured, the taxpayer must repay a portion of the related State income Tax Credit.","$691,000","$0","$691,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","InvestArk","Business attraction/retention/expansion","Arkansas Code Ann. 15-4-2706(c)","State of Arkansas","Sales and Use Tax","Tax Credit","Because taxes are abated after qualified expenditures are made, no recapture provisions are provided.","$36,469,000","$0","$36,469,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","ArkPlus","Capital investment","Arkansas Code Ann. 15-4-2706(b)","State of Arkansas","Income Tax; Sales and Use Tax","Tax Credit","The investment thresholds must be reached within four years of the date the financial incentive agreement is signed, except for certain lease payments. Because taxes are abated after eligible costs are incurred and verified, there are no recapture provisions.","$5,049,000","$0","$5,049,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","Water Resource Conservation and Development","Conservation of farmland, forest, open space, or water","Arkansas Code Annotated Section 26-51-1001 - 26-51-1014","State of Arkansas","Income Tax","Tax Credit","If the project is not completed within three years, all income Tax Credits used shall be repaid. If the project is not maintained for 10 years after completion, a pro rata share of the income Tax Credits used shall be recaptured based on the number of years since completion.","$691,000","$0","$691,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","Wetland and Riparian Zone","Environmental protection","Arkansas Code Annotated Section 26-51-1501 - 26-51-1510","State of Arkansas","Income Tax","Tax Credit","If the project is not completed within three years, all income Tax Credits used shall be repaid. If the project is not maintained for 10 years after completion, a pro rata share of the income Tax Credits used shall be recaptured, based on the number of years since completion.","$253,000","$0","$253,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","Advantage Arkansas","Job Creation/Retention","Arkansas Code Ann. 15-4-2705","State of Arkansas","Income Tax","Tax Credit","If the business fails to meet the payroll threshold within two years after signing the financial incentive agreement, unless an extension is granted, the business must repay all benefits previously received under this program","$3,958,000","$0","$3,958,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","Tax Back","Job Creation/Retention","Arkansas Code Ann. 15-4-2706(d)","State of Arkansas","Sales and use","Tax refund","Because taxes are abated after qualified expenditures are made, no recapture provisions are provided.","$4,567,000","$0","$4,567,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","Major Maintenance and Improvement","Manufacturing development","Arkansas Code Annotated Section 15-4-3501","State of Arkansas","Sales and Use Tax","Tax refund","Because taxes are abated after qualified expenditures are made, no recapture provisions are provided.","$660,000","$0","$660,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","Targeted Research","Research and development","Ark. Code Ann. Â¬ÃŸ 15-4-2708(c) and (d)","State of Arkansas","Income Tax","Tax Credit","Because taxes are abated after qualified expenditures are made, no recapture provisions are provided.","$1,021,000","$0","$1,021,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","In-House R&D Tax Credits","Research and development","Arkansas Code Ann. 15-4-2708(b)","State of Arkansas","Income Tax","Tax Credit","Because taxes are abated after qualified expenditures are made, no recapture provisions are provided.","$4,616,000","$0","$4,616,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","Arkansas","State","2018","Tourism Development","Tourism development","Arkansas Code Ann. 15-11-501 - 15-11-511","State of Arkansas","Income Tax; Sales and Use Tax","Tax Credit","Because taxes are abated after qualified expenditures are made, no recapture provisions are provided.","$2,814,000","$0","$2,814,000","Active","(none)","https://www.dfa.arkansas.gov/accounting-office/acfr/"
"Arkansas","AR","City of Little Rock","Municipality","2018","Payment in lieu of Taxes (PILOT) Agreement - City of Little Rock","General Economic Development","Municipalities and Counties Industrial Development Revenue Bond Law, Ark. Code Ann. Â§Â§ 14-164- 201 to 224","City of Little Rock","Property Tax","Payment in Lieu of Taxes (PILOT)","(not specified)","$1,311,551","$419,230","$892,321","Active","(none)","https://www.littlerock.gov/city-administration/city-departments/finance/financial-reports/comprehensive-financial-reports/"
"Arkansas","AR","Little Rock School District","School District","2018","Payment in lieu of Taxes (PILOT) Agreement - Little Rock School District","General Economic Development","Municipalities and Counties Industrial Development Revenue Bond Law, Ark. Code Ann. Â§Â§ 14-164- 201 to 224","City of Little Rock","Property Tax","Payment in Lieu of Taxes (PILOT)","(not specified)","$3,623,111","$1,171,757","$2,451,354","Passive","Disclosures reported by City of Little Rock","https://www.littlerock.gov/city-administration/city-departments/finance/financial-reports/comprehensive-financial-reports/"
"Arkansas","AR","Pulaski County","County","2018","Payment in lieu of Taxes (PILOT) Agreement - Pulaski County","General Economic Development","Municipalities and Counties Industrial Development Revenue Bond Law, Ark. Code Ann. Â§Â§ 14-164- 201 to 224","City of Little Rock","Property Tax","Payment in Lieu of Taxes (PILOT)","(not specified)","$558,697","$178,585","$380,112","Passive","Includes only abatements reported by City of Little Rock, amount might be largerbecause other jursidiction PILOTs are not incuded","https://www.littlerock.gov/city-administration/city-departments/finance/financial-reports/comprehensive-financial-reports/"
"Arkansas","AR","Pulaski County Special School District","School District","2018","Payment in lieu of Taxes (PILOT) Agreement -Pulaski County Special School District","General Economic Development","Municipalities and Counties Industrial Development Revenue Bond Law, Ark. Code Ann. Â§Â§ 14-164- 201 to 224","City of Little Rock","Property Tax","Payment in Lieu of Taxes (PILOT)","(not specified)","$47,355","$3,165","$44,190","Active","Disclosures reported by City of Little Rock","https://www.littlerock.gov/city-administration/city-departments/finance/financial-reports/comprehensive-financial-reports/"
"California","CA","City of Anaheim","Municipality","2018","GardenWalk Retail","General Economic Development","(not specified)","Anaheim, California","Sales Tax","(not specified)","(not specified)","$273,000","$0","$273,000","Active","(none)","https://www.anaheim.net/2846/Financial-Reports-Documents"
"California","CA","City of Anaheim","Municipality","2018","Doubletree Hotel","General Economic Development","(not specified)","Anaheim, California","Transient Occupancy Tax","(not specified)","(not specified)","$762,000","$0","$762,000","Active","(none)","https://www.anaheim.net/2846/Financial-Reports-Documents"
"California","CA","City of Long Beach","Municipality","2018","Mills Act Property Tax Incentive Program","Historic Preservation","State of California Mills Act","City of Long Beach","Property tax","(not specified)","Breach of contract results in cancellation and penalty","$158,000","$0","$158,000","Active","(none)","https://www.longbeach.gov/finance/city-budget-and-finances/accounting/comprehensive-annual-financial-report/"
"California","CA","City of Long Beach","Municipality","2018","Transient Occupancy Tax (TOT) Incentive Agreement","Redevelopment/revitalization","City Council","City of Long Beach","Transient Occupancy Tax","(not specified)","(N/A - performance-based)","$230,000","$0","$230,000","Active","(none)","https://www.longbeach.gov/finance/city-budget-and-finances/accounting/comprehensive-annual-financial-report/"
"California","CA","City of Long Beach","Municipality","2018","Retail Sales Tax Incentive Program (RSTIP)","Retail development","City Council","City of Long Beach","Sales tax","(not specified)","(N/A - performance-based)","$4,300,000","$0","$4,300,000","Active","(none)","https://www.longbeach.gov/finance/city-budget-and-finances/accounting/comprehensive-annual-financial-report/"
"California","CA","City of Los Angeles","Municipality","2018","Development Incentive Program: Metropolis Hotel Project","General Economic Development","City Council","City of Los Angeles","Financial Assistance Grant","Payment","(not specified)","$2,400,000","$0","$2,400,000","Active","(none)","https://lacontroller.org/financial-reports/"
"California","CA","City of Los Angeles","Municipality","2018","Development Incentive Program: Village at Westfield Topanga Project","General Economic Development","City Council","City of Los Angeles","Financial Assistance Grant","Payment","(not specified)","$2,600,000","$0","$2,600,000","Active","(none)","https://lacontroller.org/financial-reports/"
"California","CA","City of Los Angeles","Municipality","2018","Development Incentive Program: 901 Olympic North Hotel Project","General Economic Development","City Council","City of Los Angeles","Financial Assistance Grant","Payment","(not specified)","$4,100,000","$0","$4,100,000","Active","(none)","https://lacontroller.org/financial-reports/"
"California","CA","City of Los Angeles","Municipality","2018","Development Incentive Program: Wilshire Grand Hotel Project","General Economic Development","City Council","City of Los Angeles","Financial Assistance Grant","Payment","(not specified)","$4,300,000","$0","$4,300,000","Active","(none)","https://lacontroller.org/financial-reports/"
"California","CA","City of Los Angeles","Municipality","2018","Development Incentive Program: Convention Center Headquarters Hotel Project","General Economic Development","City Council","City of Los Angeles","Financial Assistance Grant","Payment","(not specified)","$12,800,000","$0","$12,800,000","Active","(none)","https://lacontroller.org/financial-reports/"
"California","CA","City of Los Angeles","Municipality","2018","Mills Act Historical Property Agreements","Historic Preservation","State Government Code Section 50280 et seq.: State of California Mills Act","City of Los Angeles","Property Tax","Reduction of assessed value","(not specified)","$1,400,000","$0","$1,400,000","Active","(none)","https://lacontroller.org/financial-reports/"
"California","CA","City of Ontario","Municipality","2018","Various tax abatement programs","General Economic Development","(not specified)","City of Ontario","Sales and Use Tax","Tax Abatement","(not specified)","$3,747,881","$0","$3,747,881","Active","(none)",""
"California","CA","City of Riverside","Municipality","2018","Sales and Property Tax Abatement","General Economic Development","(not specified)","City of Riverside, California","Sales Tax; Property Tax","Tax Rebate","(not specified)","$327,000","$0","$327,000","Active","City reports that it has abatement agreement with one business, but fails to disclose annual cost, only saying that since 2013, cumulative abatements total $327,000",""
"California","CA","City of San Jose","Municipality","2018","Incentive Grant Agreements","General Economic Development","(not specified)","City of San Jose","New Utility Users Tax","Tax reimbursement; fee waivers","Reimburse the City a prorated portion of the grant assistance received if vacating in fewer than three years","$27,000","$0","$27,000","Active","(none)","https://www.sanjoseca.gov/your-government/departments/finance/reports/-folder-447"
"California","CA","City of San Jose","Municipality","2018","Business Cooperation Program (BCP)","General Economic Development","State Sales and Use Tax Regulation 1699.6; City Ordinances No. 28640 and No. 29408","City of San Jose","Sales and Use Tax","Tax Rebate","(N/A - by qualification)","$77,000","$0","$77,000","Active","(none)","https://www.sanjoseca.gov/your-government/departments/finance/reports/-folder-447"
"California","CA","Fresno County","County","2018","Williamson Act/Farmland Security Zone","Conservation of farmland, forest, open space, or water","California Land Conservation Act of 1965 (Williamson Act)","Fresno County,  California","Property Tax","Reduction in assessed value","(not specified)","$38,621,000","$0","$38,621,000","Active","(none)",""
"California","CA","Kern County","County","2018","Williamson Act/Farmland Security Zone","Conservation of farmland, forest, open space, or water","California Land Conservation Act of 1965 (Williamson Act)","Kern County,  California","Property Tax","Reduction in assessed value","(not specified)","$12,849,000","$0","$12,849,000","Active","(none)",""
"California","CA","La Honda-Pescadero Unified School District","School District","2018","Williamson Act and Mills Act","Agricultural development","Williamson Act; Mills Act","County of San Mateo","Property Tax","Reduction of assessed value","(not specified)","$416,890","$0","$416,890","Passive","(none)",""
"California","CA","Sacramento County","County","2018","Local Conservation Act Program","Conservation of farmland, forest, open space, or water","California Land Conservation Act of 1965 (Williamson Act)","Sacramento County,  California","Property Tax","Reduction in assessed value","no provisions for recapture","$907,000","$0","$907,000","Active","(none)",""
"Colorado","CO","Adams County","County","2018","Various tax abatement agreements","Business attraction/retention/expansion","Authority of the Board","Adams County","Real Property Tax; Personal Property Tax","Tax Rebate","(not specified)","$193,911","$0","$193,911","Active","(none)","https://adcogov.org/annual-financial-report-afr"
"Colorado","CO","Arapahoe County","County","2018","Various Personal Property Tax Abatement Agreements","General Economic Development","Colorado Revised Statute Sec. 30-11-123.","Arapahoe County","Personal Property Tax","Payment or credit","Yes","$57,840","$0","$57,840","Active","In the event of default by the taxpayer, the maximum amount recoverable by the County is the amount of incentive payments paid to the taxpayer under the agreement.","https://www.arapahoegov.com/379/Annual-Reports"
